edition,year,noc,country_name,gold,silver,bronze,total_medals,iso3,gdp_per_capita,population,gni_per_capita,hdi,eurostat_recreation_pct_gdp,wvs_country,wvs_interpersonal_trust,wvs_confidence_govt,wvs_confidence_parties,wvs_national_pride,wvs_sport_org_membership,ess_social_trust,ess_trust_parliament,ess_trust_legal,ess_news_politics
2020 Summer Olympics,2020,MAS,Malaysia,0,1,1,2,MYS,9957.52626697613,33889558.0,10110.0,0.802,,MYS,1.8042650418888042,2.517530487804878,2.8268497330282227,2.6123381568926125,2.0974866717440976,,,,
2020 Summer Olympics,2020,NGR,Nigeria,0,1,1,2,NGA,2797.18458068686,213996181.0,2460.0,0.539,,NGA,1.8731707317073172,2.691808596918086,2.8943948009748173,2.8868229587712206,2.5909863945578233,,,,
2020 Summer Olympics,2020,FIN,Finland,0,0,2,2,FIN,48828.6846862799,5529543.0,49630.0,0.939,1.6,,,,,,,6.9397590361445785,6.56289707750953,7.5282898919262555,36.63414634146341
2020 Summer Olympics,2020,BER,Bermuda,1,0,0,1,BMU,106976.546239632,64382.0,110960.0,,,,,,,,,,,,
2020 Summer Olympics,2020,MAR,Morocco,1,0,0,1,MAR,3268.0302734375,36584208.0,3260.0,0.683,,MAR,1.835,3.0175,3.0966666666666667,3.006666666666667,2.315,,,,
2020 Summer Olympics,2020,PUR,Puerto Rico,1,0,0,1,PRI,31427.1130762831,3281590.0,21200.0,,,PRI,1.82168458781362,3.306379155435759,3.4995491433724077,3.29919857524488,2.1575157515751577,,,,
2020 Summer Olympics,2020,BRN,Bahrain,0,1,0,1,BRN,26834.3592233943,447404.0,30810.0,0.827,,,,,,,,,,,
2020 Summer Olympics,2020,KSA,Kingdom of Saudi Arabia,0,1,0,1,SAU,24338.8307301067,31552510.0,26940.0,0.861,,,,,,,,,,,
2020 Summer Olympics,2020,LTU,Lithuania,0,1,0,1,LTU,20428.6478157394,2810369.0,19800.0,0.88,1.4,,,,,,,4.9358353510895885,3.7576126674786847,5.110417966313163,36.58897922312556
2020 Summer Olympics,2020,NAM,Namibia,0,1,0,1,NAM,3878.58982993966,2728762.0,4240.0,0.634,,,,,,,,,,,
2020 Summer Olympics,2020,MKD,North Macedonia,0,1,0,1,MKD,6659.59651070776,1856124.0,6460.0,0.766,,,,,,,,3.3656140350877193,3.1467044649184976,2.99645390070922,36.77437325905292
2020 Summer Olympics,2020,TKM,Turkmenistan,0,1,0,1,TKM,5972.72356566861,6949912.0,6300.0,0.731,,,,,,,,,,,
2020 Summer Olympics,2020,BOT,Botswana,0,0,1,1,BWA,6323.2974967659,2365894.0,6600.0,0.701,,,,,,,,,,,
